Year,Units,Territorio,Serie,Serie temporal,Umbral de pobreza,Value
2020,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.65
2010,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,16.78
2011,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,16.9
2012,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.72
2013,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.11
2014,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.78
2015,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.43
2016,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.97
2017,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.18
2018,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.6
2019,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.16
2020,Porcentaje,nuts.ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.76
2010,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,29.7
2011,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,30.1
2012,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,33.6
2013,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,28.4
2014,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,27.6
2015,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,28.5
2016,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,35.0
2017,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,30.5
2018,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,32.1
2019,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,28.5
2020,Porcentaje,nuts.ES70,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,29.9
2010,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,23.8
2011,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.6
2012,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.1
2013,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,21.1
2014,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,21.7
2015,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,24.4
2016,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.6
2017,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,22.9
2018,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,23.7
2019,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,18.8
2020,Porcentaje,nuts.ES70,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,22.0
2010,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.0
2011,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,27.7
2012,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,31.6
2013,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,23.4
2014,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.2
2015,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.5
2016,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,28.1
2017,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,25.9
2018,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,29.0
2019,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,22.7
2020,Porcentaje,nuts.ES70,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,28.0
2010,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,20.4
2011,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,13.4
2012,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,19.7
2013,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,20.4
2014,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,19.2
2015,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,21.3
2016,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.7
2017,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,20.0
2018,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,21.2
2019,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.0
2020,Porcentaje,nuts.ES70,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.5
